rate,Share
-50.120459729220926,0.0003
-46.81560338791308,0.0011
-43.51074704660523,0.0015
-40.20589070529739,0.0029
-36.90103436398955,0.0033
-33.5961780226817,0.0068
-30.29132168137386,0.0085
-26.98646534006601,0.015
-23.681608998758172,0.0175
-20.376752657450325,0.0258
-17.07189631614248,0.0311
-13.767039974834635,0.039
-10.462183633526791,0.0437
-7.157327292218948,0.0498
-3.852470950911105,0.0546
-0.5476146096032615,0.0581
2.7572417317045854,0.0593
6.062098073012429,0.0575
9.366954414320272,0.0592
12.671810755628115,0.0542
15.976667096935962,0.0569
19.28152343824381,0.0524
22.58637977955165,0.0479
25.891236120859496,0.0396
29.196092462167343,0.0377
32.50094880347518,0.034
35.80580514478302,0.0276
39.11066148609087,0.0191
42.415517827398716,0.0197
45.720374168706556,0.0177
49.0252305100144,0.0122
52.33008685132225,0.0107
55.63494319263009,0.0078
58.939799533937936,0.006
62.24465587524578,0.0051
65.54951221655362,0.0038
68.85436855786148,0.0031
72.15922489916932,0.0017
75.46408124047716,0.002
78.768937581785,0.0015
82.07379392309284,0.0014
85.37865026440069,0.0009
88.68350660570854,0.0006
91.98836294701638,0.0002
95.29321928832422,0.0004
98.59807562963206,0.0001
101.9029319709399,0.0002
105.20778831224776,0.0002
108.51264465355561,0.0002
111.81750099486345,0.0001
