rate,Share
-58.11315139565889,0.0001
-54.36778722097078,0.0001
-50.62242304628267,0.0002
-46.877058871594556,0.0015
-43.13169469690645,0.0012
-39.38633052221834,0.003
-35.640966347530224,0.0045
-31.895602172842114,0.0095
-28.150237998154,0.0134
-24.404873823465888,0.0156
-20.659509648777778,0.0223
-16.91414547408967,0.033
-13.168781299401555,0.0382
-9.423417124713446,0.0461
-5.678052950025336,0.0529
-1.9326887753372226,0.0603
1.8126753993508906,0.0599
5.558039574039004,0.0659
9.303403748727114,0.0643
13.048767923415227,0.0671
16.79413209810334,0.0608
20.539496272791446,0.0575
24.28486044747956,0.0506
28.030224622167673,0.048
31.77558879685578,0.0405
35.52095297154389,0.0356
39.266317146232005,0.0291
43.01168132092011,0.0261
46.757045495608224,0.0193
50.50240967029634,0.0173
54.24777384498445,0.014
57.993138019672564,0.0094
61.73850219436067,0.0069
65.48386636904878,0.0064
69.22923054373689,0.0056
72.97459471842501,0.003
76.71995889311312,0.0032
80.46532306780122,0.0019
84.21068724248934,0.0015
87.95605141717746,0.0015
91.70141559186557,0.0008
95.44677976655368,0.0006
99.1921439412418,0.0005
102.9375081159299,0.0002
106.68287229061801,0.0001
114.17360063999423,0.0002
121.66432898937046,0.0001
125.40969316405855,0.0002
