Date,Value
2000-04-20,294062
2000-04-24,393218
2000-04-25,476727
2000-04-26,485447
2000-04-27,536616
2000-04-28,341133
2000-05-01,228094
2000-05-02,446886
2000-05-03,628855
2000-05-04,460636
2000-05-05,325683
2000-05-08,353576
2000-05-09,337683
2000-05-10,523387
2000-05-11,469695
2000-05-12,358682
2000-05-15,538725
2000-05-16,699669
2000-05-17,2464354
2000-05-18,973692
2000-05-19,995210
2000-05-22,987755
2000-05-23,1486591
2000-05-24,1412433
2000-05-25,1086870
2000-05-26,350565
2000-05-30,580090
2000-05-31,896940
2000-06-01,800029
2000-06-02,1130620
2000-06-05,939522
2000-06-06,718038
2000-06-07,634779
2000-06-08,879972
2000-06-09,892559
2000-06-12,725530
2000-06-13,855205
2000-06-14,525377
2000-06-15,645953
2000-06-16,1886041
2000-06-19,2009498
2000-06-20,1165676
2000-06-21,1174338
2000-06-22,1173107
2000-06-23,1160172
2000-06-26,1180239
2000-06-27,2308244
2000-06-28,2239487
2000-06-29,4525390
2000-06-30,4607467
2000-07-03,888711
2000-07-05,2971222
2000-07-06,2306627
2000-07-07,1323989
2000-07-10,1341242
2000-07-11,2885507
2000-07-12,1482310
2000-07-13,1751537
2000-07-14,1070129
2000-07-17,403144
2000-07-18,701470
2000-07-19,723743
2000-07-20,546340
2000-07-21,962390
2000-07-24,1073544
2000-07-25,1280470
2000-07-26,1451708
2000-07-27,1266479
2000-07-28,1958565
2000-07-31,1418106
2000-08-01,1339580
2000-08-02,1319550
2000-08-03,1408066
2000-08-04,743928
2000-08-07,943233
2000-08-08,489412
2000-08-09,520304
2000-08-10,597523
2000-08-11,503840
2000-08-14,414686
2000-08-15,1693421
2000-08-16,1016659
2000-08-17,495868
2000-08-18,781883
2000-08-21,1765886
2000-08-22,2516689
2000-08-23,1347087
2000-08-24,1270678
2000-08-25,584643
2000-08-28,722843
2000-08-29,570565
2000-08-30,680299
2000-08-31,1485427
2000-09-01,779855
2000-09-05,940337
2000-09-06,878953
2000-09-07,915826
2000-09-08,850606
2000-09-11,1092051
2000-09-12,481121
2000-09-13,916082
2000-09-14,826125
2000-09-15,926623
2000-09-18,624504
2000-09-19,1150451
2000-09-20,869397
2000-09-21,1324853
2000-09-22,1479521
2000-09-25,1786029
2000-09-26,1288502
2000-09-27,2582742
2000-09-28,1275008
2000-09-29,1427888
2000-10-02,1300859
2000-10-03,1147073
2000-10-04,1602539
2000-10-05,2005361
2000-10-06,3923427
2000-10-09,2540749
2000-10-10,1589237
2000-10-11,2046640
2000-10-12,1533923
2000-10-13,2211921
2000-10-16,1295572
2000-10-17,1769644
2000-10-18,1592614
2000-10-19,1126597
2000-10-20,1480008
2000-10-23,695656
2000-10-24,740776
2000-10-25,1472922
2000-10-26,1015399
2000-10-27,805979
2000-10-30,733862
2000-10-31,1143352
2000-11-01,1163260
2000-11-02,736641
2000-11-03,1025998
2000-11-06,2425913
2000-11-07,986513
2000-11-08,714564
2000-11-09,2155740
2000-11-10,3076385
2000-11-13,2023982
2000-11-14,1798033
2000-11-15,1619180
2000-11-16,899935
2000-11-17,682519
2000-11-20,1141385
2000-11-21,1461455
2000-11-22,1565244
2000-11-24,630571
2000-11-27,1389703
2000-11-28,1460372
2000-11-29,2431695
2000-11-30,3749559
2000-12-01,2995630
2000-12-04,1811153
2000-12-05,3809013
2000-12-06,3632591
2000-12-07,2999208
2000-12-08,3258961
2000-12-11,2893351
2000-12-12,1564496
2000-12-13,2579092
2000-12-14,2173689
2000-12-15,4180089
2000-12-18,2516169
2000-12-19,3616528
2000-12-20,4224293
2000-12-21,3229291
2000-12-22,3624280
2000-12-26,1312960
2000-12-27,1296139
2000-12-28,1602056
2000-12-29,1892399
2001-01-02,1111170
2001-01-03,3476710
2001-01-04,3114479
2001-01-05,1653273
2001-01-08,2192239
2001-01-09,1157199
2001-01-10,1501465
2001-01-11,1710388
2001-01-12,2557175
2001-01-16,1584888
2001-01-17,2263121
2001-01-18,3621843
2001-01-19,3891452
2001-01-22,1442744
2001-01-23,1656167
2001-01-24,1725040
2001-01-25,1679974
2001-01-26,990395
2001-01-29,1352580
2001-01-30,930738
2001-01-31,1368848
2001-02-01,1420402
