Date,Value
2023-04-03,39840619
2023-05-01,56988653
2023-06-01,63538051
2023-07-03,19762121
2023-08-01,23911548
2023-09-01,46351859
2023-10-02,43304276
2023-11-01,43733545
2023-12-01,36909981
2024-01-02,41104845
2024-02-01,36896070
2024-03-01,47889520
2024-04-01,45223623
2024-05-01,55960891
2024-06-03,43819280
2024-07-01,284779384
2024-08-01,523267709
2024-09-03,474795205
2024-10-01,302008003
2024-11-01,207068458
2024-12-02,171633632
2025-01-02,198204059
2025-02-03,371154891
2025-03-03,411291960
2025-04-01,222585908
2025-05-01,236091882
2025-06-02,197638218
2025-07-01,213131637
2025-08-01,204517446
2025-09-02,231151897
2025-10-01,173844891
2025-11-03,180267297
