date,open,high,low,close,volume
2010-06-29,1.2667,1.6667,1.1694,1.5927,18783770
2010-06-30,1.7194,2.028,1.5534,1.5887,17194844
2010-07-01,1.6667,1.728,1.3513,1.464,8229870
2010-07-02,1.5333,1.54,1.2473,1.28,5141812
2010-07-06,1.3333,1.3333,1.0553,1.074,6879302
2010-07-07,1.0933,1.1086,0.9986,1.0533,6924658
2010-07-08,1.076,1.168,1.038,1.164,7719548
2010-07-09,1.172,1.1933,1.1033,1.16,4058610
2010-07-12,1.1967,1.2047,1.1334,1.1367,2203650
2010-07-13,1.1596,1.2426,1.1266,1.2093,2679974
2010-07-14,1.196,1.3434,1.184,1.3227,4196241
2010-07-15,1.3293,1.4333,1.2667,1.326,3745301
2010-07-16,1.38,1.42,1.3367,1.376,2621213
2010-07-19,1.4247,1.4834,1.3947,1.4607,2486560
2010-07-20,1.4566,1.4566,1.3366,1.3533,1825179
2010-07-21,1.3773,1.3933,1.3,1.348,1253443
2010-07-22,1.3667,1.4167,1.358,1.4,962346
2010-07-23,1.4126,1.4373,1.404,1.4193,654031
2010-07-26,1.4334,1.4334,1.3534,1.3967,922480
2010-07-27,1.394,1.412,1.3507,1.37,619676
2010-07-28,1.37,1.3933,1.3673,1.3813,467170
2010-07-29,1.3847,1.392,1.3334,1.3567,615929
2010-07-30,1.3466,1.3626,1.3033,1.3293,426818
2010-08-02,1.3667,1.398,1.3556,1.3947,719166
2010-08-03,1.4,1.4633,1.388,1.4633,1230991
2010-08-04,1.4633,1.4786,1.39,1.4173,920731
2010-08-05,1.436,1.4366,1.3366,1.3633,796357
2010-08-06,1.34,1.344,1.3013,1.306,742139
2010-08-09,1.3267,1.332,1.2967,1.3067,812682
2010-08-10,1.31,1.31,1.2547,1.2687,1281328
2010-08-11,1.246,1.2586,1.19,1.1933,797624
2010-08-12,1.1866,1.1933,1.1593,1.1733,691258
2010-08-13,1.212,1.23,1.1773,1.2213,634493
2010-08-16,1.23,1.2533,1.2174,1.252,486211
2010-08-17,1.264,1.2934,1.252,1.2767,447895
2010-08-18,1.306,1.306,1.24,1.2513,601313
2010-08-19,1.236,1.2834,1.222,1.2527,579101
2010-08-20,1.2433,1.274,1.234,1.2733,297490
2010-08-23,1.2727,1.3593,1.2667,1.342,1088030
2010-08-24,1.2833,1.314,1.2633,1.28,673075
2010-08-25,1.2774,1.332,1.2374,1.3267,503305
2010-08-26,1.326,1.3514,1.3067,1.3167,433750
2010-08-27,1.3166,1.3243,1.3,1.3133,379631
2010-08-30,1.3134,1.346,1.3074,1.3247,732754
2010-08-31,1.3107,1.3194,1.2887,1.2987,201018
2010-09-01,1.308,1.3793,1.3066,1.3633,495671
2010-09-02,1.358,1.416,1.354,1.404,487061
2010-09-03,1.3913,1.42,1.3773,1.4033,434744
2010-09-07,1.374,1.4,1.3666,1.3693,243328
2010-09-08,1.3773,1.3966,1.3733,1.3933,288374
2010-09-09,1.4,1.4034,1.3794,1.3807,376208
2010-09-10,1.3834,1.3954,1.3174,1.3447,386583
2010-09-13,1.3926,1.3933,1.3666,1.3813,360693
2010-09-14,1.3693,1.44,1.3687,1.408,654630
2010-09-15,1.3986,1.4666,1.386,1.4653,684740
2010-09-16,1.4767,1.544,1.3893,1.396,2685883
2010-09-17,1.4014,1.4214,1.32,1.3487,1198495
2010-09-20,1.378,1.4234,1.344,1.4037,947503
2010-09-21,1.3927,1.4367,1.378,1.3847,796024
2010-09-22,1.3914,1.3967,1.32,1.3247,962846
2010-09-23,1.326,1.3427,1.3,1.304,668077
2010-09-24,1.33,1.346,1.31,1.34,578988
2010-09-27,1.36,1.3874,1.3367,1.3687,418610
2010-09-28,1.4027,1.4327,1.384,1.4267,1214500
2010-09-29,1.4126,1.4686,1.4086,1.4653,1969405
2010-09-30,1.4666,1.4766,1.346,1.3603,2196563
2010-10-01,1.3793,1.3833,1.354,1.3733,599054
2010-10-04,1.362,1.4113,1.3533,1.3993,643581
2010-10-05,1.41,1.4187,1.4007,1.408,331936
2010-10-06,1.404,1.4172,1.3547,1.364,313552
2010-10-07,1.3713,1.376,1.356,1.362,141020
2010-10-08,1.362,1.386,1.3593,1.362,268110
2010-10-11,1.3626,1.3799,1.338,1.3493,171189
2010-10-12,1.3466,1.3522,1.3353,1.3493,243905
2010-10-13,1.376,1.39,1.3573,1.3693,320532
2010-10-14,1.4,1.402,1.36,1.3833,294612
2010-10-15,1.3926,1.3933,1.35,1.3693,284832
2010-10-18,1.368,1.376,1.348,1.3487,162734
2010-10-19,1.3467,1.3604,1.3334,1.3367,245135
2010-10-20,1.344,1.3794,1.336,1.3767,312453
2010-10-21,1.374,1.3966,1.3633,1.3833,417987
2010-10-22,1.3786,1.3953,1.37,1.3813,161016
2010-10-25,1.396,1.3987,1.382,1.39,118614
2010-10-26,1.3867,1.458,1.3673,1.424,660842
2010-10-27,1.4167,1.4253,1.3767,1.4,356500
2010-10-28,1.426,1.4334,1.3974,1.4127,224197
2010-10-29,1.4093,1.4567,1.4035,1.456,280682
2010-11-01,1.4626,1.5166,1.4206,1.4273,455772
2010-11-02,1.4454,1.4587,1.4034,1.4167,322474
2010-11-03,1.4186,1.5,1.4106,1.4513,374189
2010-11-04,1.5067,1.6887,1.4767,1.66,1874803
2010-11-05,1.658,1.6646,1.5813,1.6293,1010922
2010-11-08,1.6333,1.6666,1.602,1.6653,509463
2010-11-09,1.6667,1.7127,1.6033,1.642,957750
2010-11-10,1.632,1.998,1.6033,1.9573,3060979
2010-11-11,1.9067,1.94,1.822,1.869,1945096
2010-11-12,1.8833,2.0333,1.8713,1.9893,2729117
2010-11-15,2.0146,2.1959,2.0146,2.0533,2625085
2010-11-16,2.0667,2.0933,1.8947,1.978,1347732
2010-11-17,2.0133,2.05,1.9073,1.966,750342
2010-11-18,2.0447,2.0494,1.928,1.9927,956268
2010-11-19,2.0107,2.0913,1.98,2.066,1150495
2010-11-22,2.1047,2.23,2.1,2.2267,1530001
2010-11-23,2.2194,2.3787,2.146,2.3047,1578099
2010-11-24,2.3514,2.398,2.289,2.3647,1424985
2010-11-26,2.3734,2.4,2.3167,2.3547,350560
2010-11-29,2.3608,2.3967,2.222,2.2887,1145564
2010-11-30,2.2493,2.3553,2.2273,2.3553,2222923
2010-12-01,2.3913,2.428,2.23,2.29,1299176
2010-12-02,2.2674,2.2865,2.08,2.1567,2007006
2010-12-03,2.134,2.15,2.058,2.0993,1160439
2010-12-06,2.09,2.0967,1.9707,2.0207,1274402
2010-12-07,2.0327,2.16,2.0033,2.104,1311549
2010-12-08,2.1653,2.166,2.1013,2.158,660981
2010-12-09,2.1674,2.1814,2.11,2.1367,405991
2010-12-10,2.1366,2.1946,2.0753,2.1013,429373
2010-12-13,2.1094,2.118,2.0267,2.0367,410339
2010-12-14,2.0193,2.026,1.8507,1.902,1766912
2010-12-15,1.9113,1.998,1.902,1.9733,742886
2010-12-16,2,2.0607,1.9767,2.054,790071
2010-12-17,2.0894,2.1027,2.0474,2.0907,813834
2010-12-20,2.1093,2.146,2.084,2.1133,523311
2010-12-21,2.12,2.1794,2.114,2.1507,777693
2010-12-22,2.15,2.1906,2.1133,2.1753,833242
2010-12-23,2.084,2.1653,1.9947,2.006,1557127
2010-12-27,1.868,1.9054,1.6707,1.7033,9302556
2010-12-28,1.7234,1.7834,1.6667,1.7607,4056685
2010-12-29,1.802,1.8674,1.7667,1.8487,3319505
2010-12-30,1.8467,1.86,1.7587,1.7667,2041115
2010-12-31,1.7713,1.8166,1.7666,1.7753,1417817
2011-01-03,1.7894,1.8,1.7267,1.7747,1284114
2011-01-04,1.7773,1.7967,1.7347,1.778,1189072
2011-01-05,1.7654,1.7934,1.746,1.7887,1446903
2011-01-06,1.7887,1.8667,1.7874,1.8587,2061263
2011-01-07,1.8667,1.9054,1.86,1.8827,2249590
2011-01-10,1.878,1.912,1.87,1.8967,1342842
2011-01-11,1.906,1.914,1.7946,1.7973,1711319
2011-01-12,1.8006,1.8266,1.768,1.7973,964702
2011-01-13,1.7973,1.798,1.744,1.748,723523
2011-01-14,1.7434,1.772,1.7074,1.7167,1192150
2011-01-18,1.6986,1.7093,1.65,1.7093,1623803
2011-01-19,1.6847,1.698,1.5833,1.602,2371516
2011-01-20,1.602,1.63,1.4913,1.508,2279960
2011-01-21,1.5413,1.5727,1.514,1.536,1216942
2011-01-24,1.5687,1.654,1.5487,1.6327,1645231
2011-01-25,1.6433,1.6593,1.6013,1.6453,1271527
2011-01-26,1.6473,1.6587,1.6067,1.65,1079868
2011-01-27,1.6493,1.672,1.6353,1.6613,895634
2011-01-28,1.6587,1.6587,1.5834,1.6007,1048838
2011-01-31,1.6034,1.608,1.5667,1.6067,831597
2011-02-01,1.6207,1.6487,1.5693,1.594,707792
2011-02-02,1.6107,1.612,1.5779,1.596,569473
2011-02-03,1.588,1.5933,1.5433,1.5753,512055
2011-02-04,1.5627,1.578,1.548,1.564,543918
2011-02-07,1.5507,1.5507,1.5253,1.538,895012
2011-02-08,1.5854,1.6834,1.5334,1.6327,3505272
2011-02-09,1.6086,1.612,1.5193,1.5473,2636197
2011-02-10,1.5507,1.576,1.5207,1.5477,836043
2011-02-11,1.55,1.5833,1.5293,1.55,636603
2011-02-14,1.576,1.6094,1.5367,1.5387,1283439
2011-02-15,1.534,1.5447,1.504,1.5227,960877
2011-02-16,1.54,1.6647,1.538,1.6487,4115910
2011-02-17,1.642,1.6993,1.57,1.5733,2619878
2011-02-18,1.5553,1.566,1.5306,1.5453,2370711
2011-02-22,1.5253,1.5333,1.452,1.458,2064542
2011-02-23,1.4786,1.5,1.4073,1.4553,1605666
2011-02-24,1.452,1.5053,1.4333,1.502,1055451
2011-02-25,1.5207,1.59,1.5127,1.574,1347258
2011-02-28,1.5827,1.6067,1.5667,1.5927,1051133
2011-03-01,1.6033,1.6213,1.58,1.596,1106351
2011-03-02,1.588,1.6186,1.5816,1.6013,663278
2011-03-03,1.632,1.6527,1.604,1.624,640141
2011-03-04,1.632,1.666,1.5853,1.6633,1580064
2011-03-07,1.662,1.6934,1.6467,1.6627,2033582
2011-03-08,1.64,1.664,1.6,1.644,1399852
2011-03-09,1.644,1.666,1.618,1.648,924722
2011-03-10,1.6294,1.6327,1.582,1.6007,1017073
2011-03-11,1.59,1.6167,1.5687,1.6047,930818
2011-03-14,1.588,1.6,1.5467,1.55,1165972
2011-03-15,1.48,1.5307,1.4533,1.53,1318870
2011-03-16,1.524,1.55,1.5126,1.5213,1169646
2011-03-17,1.5494,1.562,1.5094,1.5207,922529
2011-03-18,1.546,1.546,1.5007,1.5307,687842
2011-03-21,1.5366,1.5366,1.5026,1.5153,411640
2011-03-22,1.5153,1.524,1.4666,1.4793,582798
2011-03-23,1.474,1.4847,1.4514,1.4807,422805
2011-03-24,1.476,1.492,1.4654,1.4887,462173
2011-03-25,1.4954,1.5334,1.4934,1.5167,567938
2011-03-28,1.5133,1.5693,1.5033,1.55,1058019
