rate,Share
13935.719023209112,0.9936
42007.11517312689,0.0035
70078.51132304466,0.0008
98149.90747296244,0.0005
126221.30362288021,0.0003
154292.699772798,0.0001
182364.0959227158,0.0002
210435.49207263353,0.0001
238506.88822255132,0.0002
294649.6805223868,0.0001
406935.2651220579,0.0001
463078.05742189346,0.0002
659577.830471318,0.0001
715720.6227711535,0.0001
1389434.1303691803,0.0001
